"Title","Artist","ISRC","Label","Streams","Streams change"
"Deixa Pra Lá - Programa Ensaio 1974","Cartola and Leci Brandão","NL8RL2513045","SINC","151910","0"
"Deixa Pra Lá - Programa Ensaio 1974","Cartola and Leci Brandão","NL8RL2513045","SINC Music Group","72914","0"
"Corra e Olha o Ceu - Programa Ensaio 1974","Cartola and Leci Brandão","NL8RL2513049","SINC","30149","0"
"Domingo Feliz - Programa Ensaio 1974","Cartola and Leci Brandão","NL8RL2513040","SINC","28718","0"
"Eu Sou Mangueira - Programa Ensaio 1974","Cartola and Leci Brandão","NL8RL2513039","SINC","26640","0"
"Ao Amanhecer - Programa Ensaio 1974","Cartola and Leci Brandão","NL8RL2513038","SINC","25657","0"
"Eu Sou Mangueira - Programa Ensaio 1974","Cartola and Leci Brandão","NL8RL2513039","SINC Music Group","23969","0"
"Domingo Feliz - Programa Ensaio 1974","Cartola and Leci Brandão","NL8RL2513040","SINC Music Group","23476","0"
"Ao Amanhecer - Programa Ensaio 1974","Cartola and Leci Brandão","NL8RL2513038","SINC Music Group","22408","0"
"Mil e tantas Cabrochas. - Programa Ensaio 1974","Cartola and Leci Brandão","NL8RL2513041","SINC","21870","0"
"Mil e tantas Cabrochas. - Programa Ensaio 1974","Cartola and Leci Brandão","NL8RL2513041","SINC Music Group","20162","0"
"Corra e Olha o Ceu - Programa Ensaio 1974","Cartola and Leci Brandão","NL8RL2513049","SINC Music Group","19968","0"
"Preferência - Programa Ensaio 1974","Cartola and Leci Brandão","NL8RL2513043","SINC Music Group","19356","0"
"Fita Meus Olhos - Programa Ensaio 1974","Cartola and Leci Brandão","NL8RL2513037","SINC Music Group","18460","0"
"Acontece - Programa Ensaio 1974","Cartola and Leci Brandão","NL8RL2513046","SINC Music Group","18257","0"
"Preferência - Programa Ensaio 1974","Cartola and Leci Brandão","NL8RL2513043","SINC","17418","0"
"Pensando em Donga - Programa Ensaio 1974","Cartola and Leci Brandão","NL8RL2513042","SINC Music Group","16866","0"
"Tive Sim - Programa Ensaio 1974","Cartola and Leci Brandão","NL8RL2513047","SINC Music Group","15679","0"
"Maravilhoso Vagabundo - Programa Ensaio 1974","Cartola and Leci Brandão","NL8RL2513044","SINC Music Group","15667","0"
"Fita Meus Olhos - Programa Ensaio 1974","Cartola and Leci Brandão","NL8RL2513037","SINC","15552","0"
"Acontece - Programa Ensaio 1974","Cartola and Leci Brandão","NL8RL2513046","SINC","15139","0"
"Alvorada - Programa Ensaio 1974","Cartola and Leci Brandão","NL8RL2513036","SINC Music Group","14704","0"
"Pensando em Donga - Programa Ensaio 1974","Cartola and Leci Brandão","NL8RL2513042","SINC","13632","0"
"Tive Sim - Programa Ensaio 1974","Cartola and Leci Brandão","NL8RL2513047","SINC","13287","0"
"Maravilhoso Vagabundo - Programa Ensaio 1974","Cartola and Leci Brandão","NL8RL2513044","SINC","12817","0"
"Alvorada - Programa Ensaio 1974","Cartola and Leci Brandão","NL8RL2513036","SINC","12228","0"
"Sim - Programa Ensaio 1974","Cartola and Leci Brandão","NL8RL2513048","SINC Music Group","11538","0"
"Disfarca e Chora - Programa Ensaio 1974","Cartola and Leci Brandão","NL8RL2513050","SINC Music Group","9053","0"
"Sim - Programa Ensaio 1974","Cartola and Leci Brandão","NL8RL2513048","SINC","7981","0"
"Disfarca e Chora - Programa Ensaio 1974","Cartola and Leci Brandão","NL8RL2513050","SINC","6946","0"
